100 99000
1 2 866
1 3 215
1 4 32
1 5 194
1 6 206
1 7 682
1 8 415
1 9 358
1 10 441
1 11 692
1 12 409
1 13 977
1 14 376
1 15 593
1 16 151
1 17 451
1 18 369
1 19 710
1 20 704
1 21 992
1 22 717
1 23 467
1 24 581
1 25 929
1 26 614
1 27 336
1 28 455
1 29 930
1 30 711
1 31 863
1 32 218
1 33 15
1 34 602
1 35 251
1 36 829
1 37 452
1 38 755
1 39 229
1 40 605
1 41 909
1 42 709
1 43 200
1 44 884
1 45 469
1 46 561
1 47 892
1 48 235
1 49 352
1 50 64
1 51 9
1 52 631
1 53 484
1 54 862
1 55 601
1 56 265
1 57 242
1 58 667
1 59 156
1 60 919
1 61 998
1 62 433
1 63 631
1 64 65
1 65 326
1 66 809
1 67 916
1 68 126
1 69 971
1 70 428
1 71 460
1 72 556
1 73 946
1 74 823
1 75 55
1 76 668
1 77 359
1 78 24
1 79 993
1 80 381
1 81 848
1 82 127
1 83 100
1 84 313
1 85 701
1 86 381
1 87 364
1 88 876
1 89 58
1 90 596
1 91 161
1 92 316
1 93 773
1 94 913
1 95 290
1 96 854
1 97 815
1 98 236
1 99 323
1 100 359
2 3 307
2 4 872
2 5 990
2 6 213
2 7 570
2 8 176
2 9 592
2 10 309
2 11 770
2 12 245
2 13 670
2 14 338
2 15 46
2 16 968
2 17 417
2 18 787
2 19 205
2 20 963
2 21 568
2 22 334
2 23 364
2 24 208
2 25 756
2 26 546
2 27 135
2 28 420
2 29 558
2 30 59
2 31 222
2 32 458
2 33 724
2 34 666
2 35 530
2 36 313
2 37 323
2 38 974
2 39 151
2 40 487
2 41 787
2 42 561
2 43 838
2 44 782
2 45 88
2 46 804
2 47 820
2 48 828
2 49 532
2 50 795
2 51 75
2 52 871
2 53 911
2 54 17
2 55 411
2 56 637
2 57 987
2 58 714
2 59 978
2 60 302
2 61 545
2 62 106
2 63 53
2 64 878
2 65 513
2 66 891
2 67 226
2 68 556
2 69 855
2 70 691
2 71 325
2 72 805
2 73 256
2 74 378
2 75 715
2 76 271
2 77 802
2 78 432
2 79 808
2 80 773
2 81 160
2 82 779
2 83 903
2 84 950
2 85 985
2 86 752
2 87 717
2 88 345
2 89 539
2 90 126
2 91 212
2 92 983
2 93 753
2 94 373
2 95 580
2 96 728
2 97 224
2 98 577
2 99 495
2 100 982
3 4 873
3 5 670
3 6 990
3 7 507
3 8 256
3 9 919
3 10 568
3 11 426
3 12 758
3 13 829
3 14 413
3 15 700
3 16 154
3 17 886
3 18 799
3 19 620
3 20 271
3 21 821
3 22 64
3 23 123
3 24 741
3 25 293
3 26 762
3 27 967
3 28 74
3 29 194
3 30 838
3 31 69
3 32 532
3 33 975
3 34 956
3 35 552
3 36 551
3 37 669
3 38 313
3 39 296
3 40 683
3 41 546
3 42 582
3 43 40
3 44 294
3 45 552
3 46 807
3 47 332
3 48 510
3 49 968
3 50 388
3 51 881
3 52 141
3 53 958
3 54 502
3 55 88
3 56 560
3 57 927
3 58 570
3 59 834
3 60 788
3 61 854
3 62 632
3 63 788
3 64 251
3 65 34
3 66 740
3 67 804
3 68 959
3 69 899
3 70 726
3 71 206
3 72 76
3 73 823
3 74 955
3 75 983
3 76 136
3 77 114
3 78 924
3 79 223
3 80 364
3 81 575
3 82 811
3 83 310
3 84 857
3 85 353
3 86 345
3 87 688
3 88 604
3 89 946
3 90 593
3 91 246
3 92 569
3 93 591
3 94 528
3 95 601
3 96 339
3 97 411
3 98 496
3 99 856
3 100 53
4 5 24
4 6 925
4 7 597
4 8 614
4 9 519
4 10 903
4 11 203
4 12 403
4 13 980
4 14 465
4 15 751
4 16 991
4 17 966
4 18 723
4 19 63
4 20 572
4 21 644
4 22 173
4 23 698
4 24 121
4 25 468
4 26 803
4 27 939
4 28 480
4 29 597
4 30 862
4 31 53
4 32 891
4 33 462
4 34 389
4 35 400
4 36 683
4 37 162
4 38 874
4 39 157
4 40 116
4 41 605
4 42 654
4 43 728
4 44 604
4 45 569
4 46 897
4 47 126
4 48 808
4 49 99
4 50 297
4 51 873
4 52 332
4 53 928
4 54 831
4 55 220
4 56 2
4 57 817
4 58 189
4 59 728
4 60 976
4 61 17
4 62 732
4 63 517
4 64 144
4 65 248
4 66 97
4 67 711
4 68 586
4 69 884
4 70 801
4 71 904
4 72 40
4 73 254
4 74 456
4 75 663
4 76 637
4 77 251
4 78 452
4 79 384
4 80 373
4 81 637
4 82 219
4 83 54
4 84 69
4 85 750
4 86 431
4 87 685
4 88 777
4 89 518
4 90 754
4 91 509
4 92 900
4 93 950
4 94 3
4 95 192
4 96 477
4 97 535
4 98 815
4 99 640
4 100 394
5 6 213
5 7 199
5 8 184
5 9 489
5 10 845
5 11 570
5 12 189
5 13 792
5 14 353
5 15 129
5 16 390
5 17 385
5 18 945
5 19 693
5 20 494
5 21 609
5 22 111
5 23 350
5 24 853
5 25 617
5 26 299
5 27 518
5 28 253
5 29 489
5 30 446
5 31 307
5 32 107
5 33 408
5 34 788
5 35 256
5 36 615
5 37 627
5 38 626
5 39 829
5 40 668
5 41 203
5 42 957
5 43 274
5 44 569
5 45 751
5 46 150
5 47 690
5 48 836
5 49 681
5 50 92
5 51 438
5 52 662
5 53 668
5 54 466
5 55 229
5 56 811
5 57 332
5 58 94
5 59 515
5 60 10
5 61 367
5 62 509
5 63 39
5 64 120
5 65 596
5 66 178
5 67 644
5 68 643
5 69 695
5 70 54
5 71 716
5 72 359
5 73 564
5 74 374
5 75 859
5 76 142
5 77 584
5 78 875
5 79 665
5 80 243
5 81 241
5 82 850
5 83 687
5 84 603
5 85 851
5 86 719
5 87 977
5 88 974
5 89 375
5 90 37
5 91 797
5 92 909
5 93 551
5 94 97
5 95 362
5 96 916
5 97 840
5 98 579
5 99 723
5 100 311
6 7 900
6 8 880
6 9 150
6 10 586
6 11 594
6 12 83
6 13 635
6 14 325
6 15 753
6 16 711
6 17 349
6 18 961
6 19 186
6 20 693
6 21 190
6 22 944
6 23 657
6 24 232
6 25 768
6 26 86
6 27 838
6 28 466
6 29 430
6 30 156
6 31 449
6 32 121
6 33 203
6 34 6
6 35 81
6 36 566
6 37 749
6 38 780
6 39 434
6 40 939
6 41 689
6 42 7
6 43 955
6 44 274
6 45 926
6 46 613
6 47 111
6 48 795
6 49 802
6 50 166
6 51 775
6 52 801
6 53 214
6 54 885
6 55 472
6 56 817
6 57 40
6 58 218
6 59 456
6 60 923
6 61 495
6 62 35
6 63 859
6 64 444
6 65 256
6 66 733
6 67 400
6 68 421
6 69 496
6 70 794
6 71 381
6 72 522
6 73 154
6 74 607
6 75 953
6 76 339
6 77 71
6 78 580
6 79 900
6 80 217
6 81 850
6 82 863
6 83 411
6 84 54
6 85 538
6 86 207
6 87 575
6 88 740
6 89 500
6 90 770
6 91 601
6 92 152
6 93 90
6 94 910
6 95 968
6 96 883
6 97 979
6 98 265
6 99 19
6 100 124
